Scientific_Name_ID,Diet.Inv,Diet.Vend,Diet.Vect,Diet.Vfish,Diet.Vunk,Diet.Scav,Diet.Fruit,Diet.Nect,Diet.Seed,Diet.PlantO,Diet.Category,Fora.WaterBelow,Fora.WaterSurface,Fora.Ground,Fora.Understory,Fora.MidHigh,Fora.Canopy,Fora.Aerial,Beha.Pelagic,Beha.Nocturnal,Morph.BodyMass,Phen.MigrantStatus,Morph.BeakLength,Morph.BeakWidth,Morph.BeakDepth,Morph.TarsusLength,Morph.WingLength,Morph.TailLength,Morph.HandWingIndex,Ecol.Habitat,Ecol.TrophicNiche,Ecol.PrimaryLifestyle
Certhia_familiaris,60,0,0,0,0,0,0,0,40,0,Invertebrate,0,0,40,30,30,0,0,0,0,9,Resident,18.1,2,2.6,14.6,64.5,60.3,19.2,Forest,Invertivore,Insessorial
Cettia_cetti,90,0,0,0,0,0,0,0,10,0,Invertebrate,0,0,80,20,0,0,0,0,0,13.2,Resident,14.3,2.4,3,20.3,60.6,58.2,14.3,Shrubland,Invertivore,Generalist
Charadrius_hiaticula,100,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,100,0,0,0,0,0,0,64,Partial migrant,16.1,3.3,3.7,25.3,126,60.2,53.5,Coastal,Aquatic predator,Terrestrial
Chersophilus_duponti,50,0,0,0,0,0,0,0,50,0,Omnivore,0,0,100,0,0,0,0,0,0,39.4,Partial migrant,22.5,4.1,4.7,22.3,95.7,64.5,25.9,Grassland,Omnivore,Terrestrial
Chlidonias_hybrida,40,0,30,30,0,0,0,0,0,0,VertFishScav,20,50,0,30,0,0,0,0,0,83.7,Full migrant,35,4.3,7.5,23,231.8,85.8,63.6,Wetland,Aquatic predator,Aerial
Chlidonias_leucopterus,80,0,10,10,0,0,0,0,0,0,Invertebrate,0,30,30,30,10,0,0,0,0,54.2,Full migrant,30,3.8,5.7,18.7,208.2,75.4,61.4,Wetland,Aquatic predator,Aerial
Chlidonias_niger,40,0,30,30,0,0,0,0,0,0,VertFishScav,10,90,0,0,0,0,0,0,0,65.3,Full migrant,31.1,3.5,5.4,15.8,201.7,77.8,62.1,Wetland,Aquatic predator,Aerial
Chloris_chloris,0,0,0,0,0,0,0,0,100,0,PlantSeed,0,0,40,30,30,0,0,0,0,26,Resident,14.4,7.6,8.8,17.3,85.3,55.7,32.5,Woodland,Granivore,Generalist
Chroicocephalus_genei,40,0,0,40,0,0,0,0,0,20,Omnivore,20,50,20,10,0,0,0,0,0,281,Partial migrant,52.1,5,9.4,49.4,300.8,110.2,56.9,Coastal,Aquatic predator,Generalist
Chroicocephalus_ridibundus,70,0,0,20,0,0,0,0,10,0,Invertebrate,0,50,50,0,0,0,0,0,0,284,Partial migrant,43.4,4,7.9,41.4,291.2,109.8,58.6,Wetland,Aquatic predator,Generalist
Ciconia_ciconia,20,20,40,20,0,0,0,0,0,0,VertFishScav,0,30,70,0,0,0,0,0,0,3445.8,Full migrant,189.1,23.5,33.1,217.2,565.6,249.8,45.9,Grassland,Omnivore,Terrestrial
Ciconia_nigra,10,10,10,70,0,0,0,0,0,0,VertFishScav,0,100,0,0,0,0,0,0,0,2926,Full migrant,184.5,16.6,27.4,192.6,529.5,235.6,43.1,Woodland,Aquatic predator,Terrestrial
Cinclus_cinclus,80,0,0,20,0,0,0,0,0,0,Invertebrate,40,40,20,0,0,0,0,0,0,61.5,Resident,22.1,3.4,4.4,28.4,88.9,50.1,27.6,Riverine,Aquatic predator,Generalist
Circaetus_gallicus,0,10,90,0,0,0,0,0,0,0,VertFishScav,0,0,60,0,20,0,20,0,0,1699.1,Full migrant,47,15.5,24.6,90.9,537,280.4,40.5,Woodland,Vertivore,Aerial
Circus_aeruginosus,10,60,20,10,0,0,0,0,0,0,VertFishScav,0,0,100,0,0,0,0,0,0,704.1,Partial migrant,37.3,11.9,16.2,79.3,405.7,233.9,45.6,Wetland,Vertivore,Aerial
Circus_cyaneus,10,70,10,0,0,10,0,0,0,0,VertFishScav,0,0,100,0,0,0,0,0,0,393,Full migrant,30.1,9.7,13,72.1,352.4,131.7,44.7,Grassland,Vertivore,Aerial
Circus_macrourus,20,70,10,0,0,0,0,0,0,0,VertFishScav,0,0,100,0,0,0,0,0,0,384.4,Full migrant,29.5,9.7,12.7,68,351.2,226.6,52.4,Grassland,Vertivore,Aerial
Circus_pygargus,10,80,10,0,0,0,0,0,0,0,VertFishScav,0,0,100,0,0,0,0,0,0,310.8,Full migrant,26.1,8.6,11.2,62,362.3,224.8,52,Grassland,Vertivore,Aerial
Clamator_glandarius,90,0,10,0,0,0,0,0,0,0,Invertebrate,0,0,50,30,20,0,0,0,0,143,Full migrant,29.8,8.1,8.4,33.4,194,197.2,41.9,Shrubland,Invertivore,Insessorial
Clanga_clanga,10,30,30,20,0,10,0,0,0,0,VertFishScav,0,0,50,20,30,0,0,0,0,2154.3,Full migrant,50.2,15.6,23.2,96.8,510.6,261.4,37.9,Wetland,Vertivore,Generalist
Clanga_pomarina,20,40,40,0,0,0,0,0,0,0,VertFishScav,0,0,20,20,20,20,20,0,0,1359.4,Full migrant,47.3,13.4,19.5,91.6,459.3,213,40.6,Forest,Vertivore,Generalist
Coccothraustes_coccothraustes,10,0,0,0,0,0,20,0,30,40,PlantSeed,0,0,0,20,60,20,0,0,0,56.6,Partial migrant,23,12,15,21,102,57.2,32.9,Forest,Omnivore,Insessorial
